order_item_id,order_id,product_id,quantity,unit_cost,list_price,discount_pct,selling_price,revenue,cost,profit
1,1,39,4,904.23,1807.94,20,1446.35,5785.4,3616.92,2168.48
2,1,147,1,1036.85,1745.46,20,1396.37,1396.37,1036.85,359.52
3,2,113,3,646.99,1368.95,20,1095.16,3285.48,1940.97,1344.51
4,2,35,4,524.4,1063.67,20,850.94,3403.76,2097.6,1306.16
5,2,26,3,276.86,606.4,20,485.12,1455.36,830.58,624.78
6,2,108,3,659.87,1578.56,20,1262.85,3788.55,1979.61,1808.94
7,2,8,1,681.61,1852.49,20,1481.99,1481.99,681.61,800.38
8,3,117,2,942.36,2284.36,25,1713.27,3426.54,1884.72,1541.82
9,4,67,4,891.09,1587.16,25,1190.37,4761.48,3564.36,1197.12
10,5,95,3,260.03,713.8,25,535.35,1606.05,780.09,825.96
11,5,138,3,1132.41,1472.67,25,1104.5,3313.5,3397.23,-83.73
12,5,23,1,1020.92,1488.68,25,1116.51,1116.51,1020.92,95.59
13,6,63,2,1140.92,1809.18,25,1356.88,2713.76,2281.84,431.92
14,6,130,2,254.72,360.52,25,270.39,540.78,509.44,31.34
15,6,56,3,619.3,1233.75,25,925.31,2775.93,1857.9,918.03
16,6,82,3,727.35,1042.03,25,781.52,2344.56,2182.05,162.51
17,6,117,3,942.36,2284.36,25,1713.27,5139.81,2827.08,2312.73
18,7,42,1,828.82,1701.34,30,1190.94,1190.94,828.82,362.12
19,7,128,4,1057.47,1660.76,30,1162.53,4650.12,4229.88,420.24
20,7,69,3,511.72,725.76,30,508.03,1524.09,1535.16,-11.07
21,7,38,4,280.64,763.48,30,534.44,2137.76,1122.56,1015.2
22,8,60,3,142.62,235.37,30,164.76,494.28,427.86,66.42
23,8,150,4,701.98,1809.2,30,1266.44,5065.76,2807.92,2257.84
24,9,9,1,315.26,756.38,5,718.56,718.56,315.26,403.3
25,10,87,3,925.57,1749.79,20,1399.83,4199.49,2776.71,1422.78
26,10,48,3,658.66,1207.53,20,966.02,2898.06,1975.98,922.08
27,10,75,4,1084.61,2658.43,20,2126.74,8506.96,4338.44,4168.52
28,11,32,4,812.38,1202.63,15,1022.24,4088.96,3249.52,839.44
29,11,142,4,504.96,710.05,15,603.54,2414.16,2019.84,394.32
30,11,88,2,280.17,593.01,15,504.06,1008.12,560.34,447.78
31,12,149,3,991.89,2348.07,20,1878.46,5635.38,2975.67,2659.71
32,12,37,1,928.07,1362.01,20,1089.61,1089.61,928.07,161.54
33,13,97,1,1116.97,2149.98,5,2042.48,2042.48,1116.97,925.51
34,14,77,1,861.36,1649.4,25,1237.05,1237.05,861.36,375.69
35,15,133,1,1029.77,1879.7,20,1503.76,1503.76,1029.77,473.99
36,16,20,3,984.62,2693.84,30,1885.69,5657.07,2953.86,2703.21
37,16,135,2,629.7,1747.93,30,1223.55,2447.1,1259.4,1187.7
38,16,18,2,435.92,849.39,30,594.57,1189.14,871.84,317.3
39,16,77,3,861.36,1649.4,30,1154.58,3463.74,2584.08,879.66
40,17,112,2,723.9,1197.85,25,898.39,1796.78,1447.8,348.98
41,17,95,1,260.03,713.8,25,535.35,535.35,260.03,275.32
42,17,54,1,754.26,1897.93,25,1423.45,1423.45,754.26,669.19
43,17,112,3,723.9,1197.85,25,898.39,2695.17,2171.7,523.47
